"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Playwright TypeScript Framework","1","API","0","0","Create contact message","0"
"0","","0","Authentication","1","0","Reuse storage state","0"
"0","","0","Forms","1","0","","0"
"0","Playwright TypeScript Framework","1","API","0","0","Validate contact payload","0"
"0","","0","","1","0","Valid submission","0"
"0","Playwright TypeScript Framework","0","","1","0","Intentional retry demo","0"
"0","","0","","1","0","Primary navigation","0"
"0","","0","Authentication","1","0","Persist storage state","0"
"0","","0","","1","0","Invalid login","0"
"0","Playwright TypeScript Framework","1","API","0","0","Get user profile","0"
"0","","0","","1","0","Valid login","0"
